country_group,iso,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Estimates Start After,,
ED-A,CHN,China,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",673.541,698.221,749.217,819.221,931.543,"1,042.39","1,117.68","1,227.96","1,344.27","1,379.87","1,413.10","1,520.40","1,717.49","1,933.65","2,161.27","2,373.17","2,581.59","2,792.10","2,984.05","3,187.05","3,430.96","3,690.64","4,001.13","4,375.73","4,790.10","5,304.32","5,947.03","6,759.28","7,370.11","8,027.09","8,836.40","9,621.15","10,299.39","11,034.45","11,770.84","12,535.04","13,306.59","14,151.79","15,050.18","15,893.00","16,225.86","17,590.90","18,117.15","19,073.98",2022,,
ED-A,THA,Thailand,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","3,914.63","4,064.33","4,201.08","4,354.39","4,522.19","4,647.38","4,816.32","5,180.35","5,767.61","6,368.72","7,010.15","7,509.65","8,120.70","8,745.55","9,358.71","10,017.93","10,467.46","10,059.38","9,180.02","9,489.82","9,809.62","10,053.82","10,583.76","11,260.16","11,886.33","12,304.40","12,837.88","13,460.06","13,620.53","13,458.53","14,399.05","14,450.48","15,424.54","15,767.36","15,854.13","16,285.39","16,782.10","17,422.95","18,101.52","18,431.95","17,253.07","17,484.99","17,914.66","18,497.02",2021,,
ME-CA,GEO,Georgia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"7,788.63","4,280.47","3,095.13","3,007.19","3,207.43","3,675.27","4,211.99","4,464.87","4,693.64","4,873.74","5,208.27","5,556.95","6,211.13","6,617.92","7,290.88","8,037.17","9,083.90","9,364.30","9,066.28","9,701.58","10,488.00","11,263.37","11,736.20","12,262.41","12,616.58","12,959.86","13,595.58","14,241.75","14,975.81","13,988.18","15,403.63","17,144.66","17,883.09",2021,,
ED-E,MKD,North Macedonia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"10,277.92","9,461.11","9,243.55","9,087.87","9,133.51","9,227.70","9,493.80","9,862.93","10,270.89","9,923.26","10,043.62","10,242.92","10,689.43","11,170.72","11,715.30","12,453.96","13,113.37","13,040.22","13,448.36","13,746.23","13,666.93","14,043.06","14,528.77","15,073.64","15,484.84","15,640.30","16,076.65","16,712.33","15,986.15","16,614.64","16,982.98","17,220.75",2021,,
LA-C,GRD,Grenada,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","6,064.16","6,040.48","6,118.28","6,129.81","6,214.02","6,488.53","6,949.96","7,638.34","7,965.18","8,366.35","8,775.84","8,888.36","8,752.70","8,487.76","8,547.08","8,652.81","8,968.20","9,356.80","10,414.91","11,097.83","11,613.44","11,333.72","11,678.76","12,738.89","12,614.84","14,246.63","13,641.27","14,442.88","14,541.85","13,537.82","13,412.81","13,444.64","13,207.00","13,427.54","14,317.05","15,142.07","15,614.30","16,217.50","16,837.50","16,867.71","14,480.44","15,070.00","15,885.85","16,375.84",2020,,
ME-CA,TKM,Turkmenistan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"6,112.48","5,446.24","4,390.11","3,984.04","3,647.71","3,184.55","3,352.07","3,857.61","4,521.79","5,383.60","6,166.90","7,146.79","8,111.58","9,070.93","9,953.06","10,924.71","12,384.63","12,982.04","14,849.29","16,476.44","17,175.58","16,803.62","17,130.10","17,327.62","16,923.79","17,511.85","17,482.37","16,409.21","15,605.92","16,085.68","16,141.34","16,293.59",2004,,
ED-E,BIH,Bosnia and Herzegovina,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"4,581.59","5,669.28","6,459.33","7,132.65","7,433.58","7,601.06","7,976.67","8,282.24","8,793.46","9,158.62","9,674.71","10,269.53","10,867.08","10,830.35","11,007.73","11,241.24","11,332.06","11,841.55","11,994.48","12,540.35","12,972.76","13,420.36","13,966.11","14,389.73","13,971.83","15,030.36","15,637.34","15,991.39",2021,,
ME-CA,IRN,Iran,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","10,772.53","9,776.88","11,589.80","12,390.72","11,073.67","10,856.40","9,426.08","9,183.81","8,418.05","8,719.58","9,667.08","10,634.67","10,826.60","10,512.96","10,185.06","10,278.77","10,773.53","10,750.92","10,824.05","10,922.49","11,378.40","11,457.75","12,181.03","12,907.44","13,264.23","13,481.20","13,933.16","14,851.26","14,737.26","14,696.54","15,347.15","15,545.18","14,787.88","14,377.88","14,909.90","14,516.85","15,601.65","15,805.79","15,323.61","14,675.91","14,990.88","15,549.76","15,782.71","15,946.15",2021,,
ME-CA,ARM,Armenia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"2,869.12","2,524.43","2,725.45","3,008.39","3,213.80","3,354.41","3,599.15","3,737.29","3,968.86","4,373.03","5,037.01","5,763.71","6,388.34","7,338.39","8,334.60","9,512.25","10,207.27","8,792.45","8,996.94","9,414.58","10,079.40","10,388.32","10,744.19","11,074.41","11,087.77","11,974.03","12,644.05","13,637.87","12,667.56","13,384.88","15,070.69","15,898.32",2020,,
LA-C,COL,Colombia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","7,188.33","7,191.82","7,104.13","7,063.42","7,148.41","7,420.75","7,693.32","7,940.06","8,093.26","8,199.48","8,379.93","8,404.08","8,597.98","8,918.74","9,211.34","9,528.47","9,568.59","9,768.62","9,673.91","9,150.50","9,278.84","9,314.79","9,429.06","9,676.76","10,067.96","10,387.95","10,954.72","11,558.96","11,806.92","11,811.51","12,208.67","12,920.02","13,291.84","13,840.95","14,327.70","14,608.56","14,749.12","14,763.88","14,879.14","14,999.85","13,642.26","14,944.25","15,890.14","15,874.60",2022,,
SSA,BWA,Botswana,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","5,047.69","5,360.24","5,989.90","6,399.97","6,574.15","6,828.11","7,153.07","7,927.27","9,438.93","9,532.74","9,997.21","10,313.40","10,001.37","10,120.07","9,778.39","10,342.61","10,349.25","10,838.75","10,442.56","11,068.85","11,346.26","11,382.36","12,002.37","12,429.31","12,384.54","12,768.71","13,287.23","13,783.38","13,945.60","11,729.57","12,653.37","13,250.25","12,975.95","14,144.52","14,665.27","13,682.70","14,373.52","14,656.77","14,962.08","15,118.00","13,545.67","14,871.67","15,538.13","15,823.42",2020,,
SSA,GAB,Gabon,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","19,598.51","18,409.57","18,751.88","18,715.31","19,209.74","19,886.41","19,049.70","15,769.13","15,969.71","18,037.11","18,557.55","19,078.49","17,929.29","18,195.77","18,411.06","18,855.41","19,062.37","19,664.62","19,852.22","17,635.90","16,881.74","16,824.04","16,444.34","16,316.14","16,096.44","15,580.34","14,910.30","15,392.75","15,086.16","14,202.63","14,540.64","15,001.76","15,211.48","15,446.71","15,566.74","15,652.46","15,579.43","15,302.64","15,222.29","15,608.06","15,118.63","15,149.41","15,389.55","15,659.92",2015,,
ED-E,ALB,Albania,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","5,557.56","5,757.84","5,800.93","5,741.66","5,734.57","5,533.60","5,731.60","5,573.33","5,392.59","5,764.04","5,095.14","3,690.68","3,445.78","3,799.69","4,182.46","4,582.92","5,031.14","4,509.64","4,938.80","5,610.87","6,038.99","6,601.48","6,921.68","7,331.74","7,768.47","8,239.85","8,781.45","9,377.46","10,158.43","10,570.17","11,016.55","11,327.40","11,506.95","11,643.57","11,874.74","12,173.62","12,597.30","13,039.70","13,570.55","13,862.63","13,394.46","14,559.68","15,138.76","15,522.49",2021,,
LA-C,BRB,Barbados,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","13,206.74","12,910.46","12,241.03","12,269.52","12,677.60","12,780.44","13,389.76","13,691.23","14,120.22","14,576.06","14,045.46","13,451.14","12,640.45","12,697.74","12,906.27","13,120.48","13,590.46","14,181.18","14,656.44","14,651.06","15,251.02","14,843.88","14,917.61","15,197.84","15,364.63","15,920.32","16,759.77","17,059.90","17,106.50","16,171.09","15,739.03","15,575.63","15,451.41","15,183.51","15,117.44","15,441.95","15,782.48","15,817.71","15,685.70","15,564.25","13,458.38","13,398.95","14,701.55","15,382.90",2020,,
LA-C,BRA,Brazil,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","11,391.51","10,652.21","10,484.55","9,912.98","10,221.07","10,802.57","11,386.77","11,572.04","11,390.93","11,549.92","10,744.85","10,673.58","10,451.80","10,766.10","11,163.16","11,476.90","11,395.93","11,600.77","11,461.36","11,342.66","11,669.35","11,667.50","11,869.49","11,858.17","12,393.26","12,643.12","12,998.50","13,643.38","14,190.39","14,027.78","14,936.00","15,394.30","15,554.68","15,886.77","15,831.17","15,137.90","14,522.02","14,596.87","14,736.81","14,799.44","14,205.74","14,854.61","15,192.45","15,242.78",2020,,
ME-CA,AZE,Azerbaijan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"6,014.74","4,608.01","3,647.88","3,153.36","3,198.56","3,449.86","3,621.40","3,995.18","4,202.02","4,429.60","4,802.08","5,242.49","5,672.81","7,174.54","9,528.12","11,798.40","12,878.90","13,860.63","14,403.00","13,999.84","14,116.13","14,747.14","14,966.79","14,941.15","14,315.38","14,184.79","14,269.47","14,501.14","13,774.12","14,470.73","14,963.44","15,229.38",2021,,
SSA,GNQ,Equatorial Guinea,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",840.575,840.552,798.301,774.656,727.844,774.124,721.643,726.33,723.094,693.835,690.254,660.344,850.246,908.329,"1,025.00","1,251.18","1,840.55","4,391.11","5,267.62","6,395.43","12,928.33","19,865.69","22,813.40","25,050.96","31,303.00","32,419.37","33,005.96","36,347.34","40,889.49","39,583.93","34,459.66","35,113.41","36,410.00","33,450.83","32,231.18","28,149.29","24,698.80","22,449.90","20,309.55","18,544.02","17,174.40","16,099.64","15,850.70","15,099.50",2015,,
LA-C,LCA,Saint Lucia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","6,245.43","6,476.05","6,527.82","6,705.00","7,141.52","7,916.64","8,920.97","9,141.11","10,259.89","10,987.69","11,947.46","11,827.92","12,567.33","12,554.74","12,503.92","12,476.76","12,634.25","12,328.33","12,906.19","13,099.87","12,913.69","12,323.19","12,278.56","12,683.64","13,453.56","13,243.70","13,895.25","14,001.09","14,512.91","14,727.95","14,709.41","15,271.25","15,059.44","14,586.82","14,616.47","14,448.68","14,860.66","15,235.59","15,552.17","15,354.32","11,540.59","12,870.91","14,692.71","15,038.37",2015,,
LA-C,SUR,Suriname,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"13,706.48","11,640.90","11,952.54","11,517.76","10,584.98","11,608.38","12,755.56","13,448.82","13,581.39","13,262.76","13,091.56","13,533.42","13,872.73","14,585.38","15,371.73","15,942.97","16,671.32","17,325.10","17,796.83","18,085.78","18,767.95","19,543.73","20,006.78","20,271.89","20,012.37","19,038.95","17,837.44","17,879.62","18,551.30","18,507.19","15,446.06","14,844.32","14,863.11","15,031.73",2020,,
LA-C,VCT,Saint Vincent and the Grenadines,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","4,807.74","4,951.20","5,037.84","5,160.56","5,394.51","5,585.36","5,846.89","5,846.09","6,576.21","6,756.75","7,027.13","7,128.07","7,624.35","7,888.13","7,786.51","8,305.43","8,382.99","8,685.77","9,061.81","9,241.22","9,396.43","9,535.61","9,988.67","10,588.46","10,972.91","11,209.17","11,928.53","12,282.83","12,321.62","12,157.03","11,624.15","11,540.03","11,648.25","11,907.97","12,017.10","12,323.86","12,806.27","12,975.24","13,376.59","13,454.43","12,941.01","13,028.18","13,707.76","14,514.42",2016,,
ME-CA,EGY,Egypt,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","5,411.98","5,378.15","5,617.03","5,953.18","6,256.97","6,532.69","6,670.75","6,806.25","6,935.94","6,989.12","7,089.22","7,091.38","6,968.38","6,950.72","7,100.29","7,251.23","7,449.80","7,720.08","8,139.86","8,457.83","8,718.17","8,845.73","8,949.34","9,045.00","9,238.51","9,460.51","9,897.98","10,397.91","10,904.95","11,162.26","11,468.37","11,409.77","11,381.02","11,464.98","11,540.48","11,754.30","12,014.03","11,756.04","12,140.47","12,579.12","12,801.10","13,030.10","13,618.84","13,850.42",2021,,
ED-E,MDA,Moldova,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"8,303.13","8,224.81","5,676.92","5,602.05","5,288.34","5,390.82","5,048.27","4,884.47","4,999.33","5,314.96","5,744.57","6,142.18","6,609.52","7,126.02","7,486.48","7,729.21","8,344.22","7,851.96","8,417.17","8,909.12","8,856.68","9,662.73","10,152.89","10,205.89","10,732.39","11,361.90","12,042.55","12,702.32","11,859.25","13,758.02","13,226.40","13,737.16",2019,,
ED-A,PLW,Palau,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"11,851.46","12,445.16","12,976.59","12,434.52","12,838.57","13,151.87","13,275.60","13,656.46","13,183.21","12,515.84","12,532.04","13,297.22","13,889.73","13,737.87","14,388.98","15,504.99","16,061.19","15,490.74","15,487.01","15,505.50","14,458.38","12,670.61","12,302.17","13,373.26",2021,,
LA-C,PER,Peru,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","7,525.60","7,741.88","7,531.58","6,668.47","6,762.40","6,747.40","7,394.88","7,790.67","6,903.70","5,851.56","5,441.80","5,452.45","5,318.46","5,492.36","6,055.80","6,389.26","6,454.33","6,755.89","6,618.68","6,610.96","6,685.90","6,629.45","6,893.54","7,084.17","7,338.91","7,701.84","8,181.42","8,775.33","9,468.13","9,465.11","10,138.96","10,659.00","11,186.47","11,709.34","11,856.38","12,109.38","12,453.36","12,631.70","12,996.77","12,886.37","11,353.51","12,764.35","12,979.36","13,159.20",2017,,
SSA,ZAF,South Africa,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","12,267.05","12,599.70","12,231.56","11,699.92","11,991.11","11,569.26","11,314.03","11,307.00","11,534.22","11,557.61","11,264.10","10,883.17","10,386.05","10,256.76","10,339.66","10,436.33","10,683.95","10,780.40","10,670.22","10,765.73","11,050.50","11,144.34","11,399.41","11,622.51","12,022.41","12,511.39","13,052.68","13,572.23","13,806.76","13,392.68","13,589.00","13,804.43","13,921.30","14,049.39","14,033.16","14,004.89","13,886.18","13,838.85","13,845.59","13,690.07","12,639.64","13,145.76","13,312.20","13,125.82",2022,,
ED-A,IDN,Indonesia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","2,852.22","3,009.62","3,017.58","3,083.16","3,252.40","3,313.92","3,483.29","3,640.26","3,818.83","4,085.01","4,366.44","4,678.69","4,902.57","5,206.26","5,507.48","5,862.97","6,249.16","6,468.16","5,554.94","5,534.96","5,744.18","5,869.76","6,047.62","6,247.62","6,469.67","6,741.81","7,012.67","7,352.77","7,788.87","8,040.42","8,432.94","8,792.32","9,192.04","9,570.56","9,916.34","10,260.61","10,655.77","11,073.52","11,522.78","11,976.45","11,586.17","11,924.98","12,438.76","12,933.70",2022,,
ED-A,FJI,Fiji,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","7,550.93","7,813.62","7,531.13","7,035.15","7,583.18","7,184.06","7,587.75","7,013.95","7,248.41","8,093.56","8,494.02","8,198.47","8,629.45","8,784.00","9,159.76","9,324.97","9,697.29","9,396.01","9,449.73","10,198.53","9,954.09","10,071.83","10,321.49","10,331.85","10,814.71","10,601.05","10,729.03","10,560.67","10,614.95","10,416.21","10,677.56","10,913.84","11,015.61","11,482.90","12,069.63","12,557.20","12,751.06","13,316.59","13,748.05","13,592.64","11,219.56","10,587.40","12,057.83","12,828.88",2017,,
ED-E,XKX,Kosovo,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"6,507.25","6,803.52","6,600.54","6,654.08","6,309.13","6,512.89","6,652.43","7,104.83","7,145.31","7,385.91","7,630.95","8,090.25","8,067.50","8,474.87","8,834.85","9,533.64","9,997.56","10,392.70","10,763.67","11,361.45","10,658.54","11,999.02","12,316.83","12,741.55",2021,,
LA-C,PRY,Paraguay,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","8,374.04","8,876.15","8,497.61","7,999.49","7,985.64","8,053.64","7,826.47","7,894.72","8,101.94","8,309.57","8,651.93","8,408.49","8,380.11","8,617.90","8,894.67","9,311.51","9,268.89","9,468.88","9,285.82","8,975.79","8,592.71","8,361.98","8,208.36","8,411.39","8,601.11","8,635.82","8,900.72","9,230.41","9,672.82","9,495.89","10,385.97","10,665.36","10,429.61","11,125.81","11,542.79","11,710.82","12,034.67","12,433.77","12,651.44","12,424.93","12,153.22","12,468.83","12,325.05","12,707.31",2021,,
ED-A,MNG,Mongolia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"5,363.64","4,753.85","4,234.96","4,062.97","4,110.86","4,308.21","4,340.60","4,448.24","4,532.68","4,606.18","4,601.57","4,757.03","4,940.03","5,240.92","5,674.29","5,974.01","6,381.18","6,841.47","7,250.48","6,968.89","7,357.47","8,474.03","9,331.90","10,196.62","10,759.51","10,796.04","10,738.59","11,137.00","11,775.08","12,214.53","11,447.15","11,455.74","11,832.14","12,186.59",2021,,
ED-A,VNM,Vietnam,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","1,437.14","1,489.40","1,579.65","1,660.20","1,765.82","1,829.44","1,853.30","1,858.44","1,916.31","2,025.15","2,041.06","2,120.26","2,264.06","2,404.99","2,573.83","2,773.52","2,984.44","3,177.76","3,309.75","3,416.12","3,599.17","3,795.97","4,011.64","4,265.99","4,556.15","4,855.02","5,145.63","5,460.73","5,714.78","5,964.56","6,284.51","6,695.71","6,988.79","7,298.83","7,684.58","8,133.27","8,585.48","9,085.61","9,661.29","10,176.85","10,350.78","10,516.39","11,250.46","11,794.16",2020,,
ED-A,LKA,Sri Lanka,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","2,754.68","2,863.26","2,975.64","3,038.81","3,208.66","3,334.92","3,443.60","3,459.18","3,517.24","3,560.43","3,742.20","4,097.47","3,924.02","4,173.17","4,466.24","4,697.96","5,233.65","5,739.87","5,616.91","5,748.08","6,193.99","6,030.27","6,205.52","6,518.90","6,816.03","7,182.99","7,674.52","8,135.80","8,558.66","8,800.10","9,440.67","10,190.35","11,055.63","11,414.17","12,029.37","12,420.55","12,904.85","13,584.19","13,753.05","13,639.02","13,095.76","13,386.68","12,096.78","11,602.40",2020,,
ED-A,BTN,Bhutan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","1,343.09","1,486.03","1,567.15","1,644.33","1,726.87","1,752.03","1,832.77","2,128.74","2,373.93","2,459.13","2,652.82","2,787.90","2,883.71","3,027.37","3,137.25","3,345.68","3,517.82","3,655.84","3,781.16","3,938.49","4,099.58","4,259.78","4,532.50","4,867.31","5,110.02","5,354.27","5,634.98","6,282.23","6,886.11","7,196.82","7,783.44","8,447.25","8,886.37","9,092.63","9,338.28","9,738.41","10,332.50","10,851.90","11,208.49","11,655.99","11,271.18","10,790.92","11,149.48","11,559.07",2021,,
LA-C,DMA,Dominica,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,"5,075.81","5,304.41","5,459.65","5,709.30","5,811.33","6,244.85","6,662.72","7,209.45","7,221.65","7,640.45","7,771.28","7,928.38","8,099.13","8,101.22","8,346.01","8,604.43","8,791.73","9,122.76","9,154.37","9,367.76","9,361.10","9,102.74","9,687.93","9,990.56","10,063.25","10,539.53","11,217.14","12,024.40","11,892.16","11,989.15","12,093.30","12,050.31","11,899.16","12,326.96","11,864.26","12,183.76","11,665.87","12,072.95","12,257.62","10,063.56","10,497.08","11,071.28","11,551.62",2011,,
ED-E,UKR,Ukraine,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"14,495.74","13,019.82","11,204.49","8,708.54","7,710.17","7,004.43","6,852.28","6,780.25","6,825.91","7,295.69","8,007.26","8,505.31","9,388.11","10,572.02","10,981.66","11,888.37","12,939.35","13,289.87","11,327.66","11,839.78","12,526.09","12,576.49","12,611.95","12,467.83","11,292.09","11,612.98","11,942.82","12,428.08","12,902.80","12,512.76","13,065.08","10,722.11","11,339.53",2020,,
LA-C,ECU,Ecuador,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","8,397.63","8,481.71","8,346.59","7,892.21","8,004.93","8,139.87","8,178.53","7,499.40","8,075.31","7,903.12","7,952.79","8,170.49","8,278.71","8,264.42","8,442.29","8,470.16","8,470.36","8,698.20","8,848.50","8,306.91","8,274.16","8,416.16","8,574.25","8,658.24","9,208.57","9,576.10","9,823.60","9,861.92","10,301.95","10,173.61","10,340.20","10,968.06","11,396.85","11,768.18","12,021.48","11,847.54","11,525.33","11,623.72","11,603.14","11,440.19","10,403.08","10,693.41","10,865.67","11,023.46",2021,,
ME-CA,DZA,Algeria,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","9,012.59","9,003.22","9,281.39","9,471.70","9,690.83","9,761.02","9,485.14","9,177.24","8,741.38","8,938.43","8,893.99","8,574.46","8,503.41","8,131.78","7,882.16","8,020.92","8,178.24","8,131.84","8,412.75","8,549.26","8,716.75","8,848.31","9,206.99","9,724.10","9,991.51","10,423.53","10,441.48","10,632.03","10,652.34","10,618.40","10,785.25","10,874.65","11,011.07","11,082.34","11,263.19","11,431.79","11,545.39","11,458.70","11,362.79","11,252.84","10,574.95","10,756.48","10,897.17","11,018.37",2019,,
ME-CA,TUN,Tunisia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","5,129.00","5,263.94","5,114.03","5,228.74","5,464.93","5,590.24","5,302.78","5,539.64","5,450.83","5,492.47","5,704.77","5,810.37","6,140.36","6,162.34","6,263.47","6,319.75","6,649.30","6,934.01","7,189.85","7,539.65","7,786.46","8,010.61","8,051.86","8,366.58","8,819.16","9,049.97","9,437.07","9,970.56","10,283.99","10,481.66","10,729.26","10,390.98","10,704.60","10,837.40","11,042.63","11,021.17","11,017.68","11,138.35","11,306.15","11,364.83","10,258.25","10,607.35","10,775.71","10,825.06",2019,,
ME-CA,IRQ,Iraq,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"5,155.32","7,695.85","7,623.70","7,856.39","7,816.33","8,261.36","8,332.89","8,637.55","9,056.08","10,059.04","10,554.47","10,151.67","10,346.33","11,603.67","10,916.39","11,134.60","11,483.07","9,434.77","9,901.60","10,435.97","10,544.86",2013,,
ME-CA,JOR,Jordan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","9,771.82","10,839.03","11,031.13","10,730.20","10,858.55","10,312.34","10,506.78","10,390.01","10,280.88","8,799.01","8,253.46","7,384.15","8,157.69","8,059.74","8,062.27","8,209.84","8,112.28","8,214.94","8,314.63","8,434.00","8,632.58","8,898.38","9,305.59","9,468.43","9,981.70","10,513.04","10,978.12","11,395.68","11,674.88","11,662.34","11,327.13","11,027.72","10,699.27","10,425.63","10,295.24","10,156.26","10,046.86","10,051.77","10,060.15","10,115.62","9,857.86","10,012.86","10,252.51","10,517.63",2021,,
