country_group,iso,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Estimates Start After
ED-E,PHL,Philippines,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. Accessed via Haver Latest actual data: 2022 Employment type: Harmonized ILO definition. Please note that data prior to 2005 are not based on harmonized ILO definition but based on national definition. Primary domestic currency: Philippine peso Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,11.058,11.682,11.062,9.402,9.129,8.4,10.5,9.8,9.275,9.475,9.525,8.525,8.675,10.05,9.725,11.175,11.125,11.4,11.4,11.825,11.35,7.95,7.325,7.4,7.475,7.325,7.025,6.975,7.075,6.8,6.275,5.475,5.725,5.325,5.1,10.4,7.783,5.4,4.667,2022
euro-area,POL,Poland,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition Primary domestic currency: Polish zloty Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.3,11.8,13.6,16.4,11.4,13.341,12.343,11.246,10.576,13.133,16.087,18.242,20.235,19.942,19.276,18.052,14.169,9.944,7.466,8.514,9.635,9.632,10.088,10.328,8.988,7.499,6.161,4.888,3.846,3.279,3.163,3.362,2.887,2.79,2022
other-advanced,PRT,Portugal,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2023,7.824,8.29,7.457,7.945,10.503,8.674,8.603,7.126,7.069,5.059,4.225,4.138,3.86,5.127,6.34,7.917,8.015,7.51,5.72,5.169,4.717,4.801,5.779,7.038,7.392,8.343,8.408,8.722,8.315,10.177,11.506,13.445,16.516,17.092,14.535,12.939,11.452,9.233,7.167,6.675,7.125,6.567,6.05,6.568,2022
SSA,QAT,Qatar,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED-E,ROU,Romania,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office. Formally, Eurostat. Latest actual data: 2022 Employment type: Harmonized ILO definition. Definition of employment was changed to reflect methodological changes from January 2021 onwards. Primary domestic currency: Romanian leu Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,4,3.9,3.7,3.7,3.4,3.4,3.5,5.441,9.206,10.994,9.882,7.323,7.85,9.611,7.175,7.592,7.392,8.317,7.75,7.983,7.125,7.175,6.342,5.6,8.425,9.025,9.092,8.692,8.992,8.592,8.392,7.2,6.092,5.25,4.892,6.075,5.608,5.625,5.6,2022
ED-E,RUS,Russia,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: Russian ruble Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.2,5.9,8.1,8.3,9.258,10.808,11.875,13.033,10.558,8.942,8.042,8.233,7.733,7.15,7.05,6.025,6.233,8.242,7.358,6.508,5.45,5.5,5.158,5.575,5.525,5.2,4.8,4.6,5.783,4.825,3.942,3.251,2022
SSA,RWA,Rwanda,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA-C,WSM,Samoa,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA-C,SMR,San Marino,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition Primary domestic currency: Euro Data last updated: 08/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.54,3.921,4.119,3.362,3.56,3.313,3.021,3.114,4.483,4.945,5.469,6.95,8.079,8.739,9.183,8.597,8.095,8.009,7.663,7.342,5.238,4.318,4.037,2022
LA-C,STP,São Tomé and Príncipe,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2017 Employment type: National definition Primary domestic currency: São Tomé and Príncipe dobra Data last updated: 08/2023,13.623,13.623,13.623,13.623,13.623,13.623,13.623,13.623,13.623,15.1,15.878,16.764,15.564,14.944,14.645,14.352,14.065,14.419,14.419,14.419,14.4,15.73,17.63,16.36,16.12,16.47,16.65,15.852,15.712,15.095,14.628,14.127,13.59,13.525,13.472,13.433,13.416,13.472,n/a,n/a,n/a,n/a,n/a,n/a,2017
ED-A,SAU,Saudi Arabia,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office. General Authority for Statistics, Kingdom of Saudi Arabia (GSTAT) Latest actual data: 2022 Employment type: Harmonized ILO definition. Unemployment rate updated to include expat workers Primary domestic currency: Saudi riyal Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.345,4.571,4.617,5.265,5.562,5.822,6.051,6.254,5.645,5.176,5.377,5.548,5.772,5.524,5.568,5.721,5.591,5.6,5.9,6.025,5.625,7.65,6.6,5.6,n/a,2022
other-advanced,SEN,Senegal,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,SRB,Serbia,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office. Statistical Office of the Republic of Serbia Latest actual data: 2022 Notes: While the Labor Force Survey has been conducted every quarter since Q1 2014, data up to 2021 and from 2021 onward are not comparable. Employment type: Harmonized ILO definition. The methodology is harmonized with ILO and Eurostat. Primary domestic currency: Serbian dinar Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12.26,12.8,13.3,12.1,12.2,14.47,16,19.53,21.83,21.56,18.8,14.4,16.9,20,23.6,24.6,23,20.552,18.924,16.382,14.493,13.673,11.193,9.728,11.008,9.396,9.076,2022
ME-CA,SYC,Seychelles,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2015 Employment type: National definition Primary domestic currency: Seychelles rupee Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.7,7.452,6.757,4.211,3.172,3.112,4.412,4.064,3.151,3.531,3.624,2.511,1.863,1.716,5.136,4.605,4.13,3.705,3.325,2.983,2.684,2.684,3,3,3,3,3,3,3,2015
SSA,SLE,Sierra Leone,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED-E,SGP,Singapore,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition. Prior to 1986 unemployment data excludes non-residents. Primary domestic currency: Singapore dollar Data last updated: 09/2023,5.751,5.925,6.281,5.57,6.135,4.565,2.012,3.9,2.575,1.775,1.775,1.75,1.8,1.7,1.725,1.75,1.65,1.425,2.5,2.8,2.675,2.65,3.55,3.95,3.35,3.125,2.65,2.125,2.225,3.025,2.175,2.025,1.95,1.9,1.95,1.9,2.075,2.175,2.1,2.25,3,2.65,2.1,1.8,2022
SSA,SVK,Slovak Republic,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. Eurostat & Haver Analytics Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12.7,14.6,13.7,12.6,11.882,12.725,16.492,18.9,19.458,18.825,17.7,18.358,16.358,13.442,11.217,9.592,12.1,14.417,13.6,13.9,14.15,13.125,11.458,9.65,8.058,6.517,5.725,6.633,6.8,6.167,6.1,2022
SSA,SVN,Slovenia,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.836,8.591,8.497,7,6.892,6.917,7.367,7.408,6.742,6.192,6.342,6.725,6.325,6.55,6,4.875,4.425,5.9,7.25,8.225,8.9,10.1,9.75,9,8.025,6.575,5.125,4.45,5,4.725,4,3.627,2022
other-advanced,SLB,Solomon Islands,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euro-area,SOM,Somalia,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euro-area,ZAF,South Africa,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: South African rand Data last updated: 09/2023,9.241,9.824,10.755,12.543,13.718,15.452,16.049,16.592,17.238,17.829,18.784,20.162,21.213,22.163,22.89,16.5,20.3,22,26.1,23.3,23,25.95,27.8,27.65,25.15,24.65,23.55,23,22.525,23.7,24.875,24.8,24.875,24.725,25.1,25.35,26.725,27.45,27.125,28.7,29.175,34.3,33.5,32.8,2022
ED-A,SSD,South Sudan,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME-CA,ESP,Spain,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2023,11.011,13.755,15.77,17.215,19.937,21.305,20.907,20.223,19.238,17.24,16.238,16.313,18.353,22.64,24.118,22.9,22.08,20.61,18.605,15.64,13.857,10.54,11.45,11.485,10.965,9.153,8.453,8.233,11.245,17.855,19.858,21.39,24.788,26.095,24.443,22.058,19.635,17.225,15.255,14.105,15.533,14.785,12.918,11.842,2022
SSA,LKA,Sri Lanka,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. Department of Census and Statistics Latest actual data: 2021 Employment type: National definition Primary domestic currency: Sri Lankan rupee Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15.897,14.665,14.566,13.777,13.127,12.267,11.294,10.501,9.174,8.857,7.573,7.9,8.8,8.4,8.3,7.7,6.6,6.2,6,5.9,5,4.1,4,4.4,4.3,4.7,4.4,4.2,4.4,4.8,5.5,5.1,5.25,n/a,2021
other-advanced,KNA,St. Kitts and Nevis,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,LCA,St. Lucia,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euro-area,VCT,St. Vincent and the Grenadines,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED-A,SDN,Sudan,Unemployment rate,Percent of total labor force,,"Source: Ministry of Labor and Civil Service and Human Resource Development and staff estimates., World Bank estimates. Latest actual data: 2011 Employment type: labor market data is not available Primary domestic currency: Sudanese pound Data last updated: 09/2023",n/a,22.328,22.219,21.426,20.66,19.923,19.211,18.525,17.863,17.225,16.61,15.998,15.409,15.757,15.177,14.618,14,13.5,13,12.5,15.2,15,15.9,15.8,16.183,17.01,17.493,16.77,16.04,14.894,13.733,12.033,14.8,15.2,19.8,21.6,20.6,19.6,19.5,22.1,26.83,28.328,32.137,45.961,2011
ME-CA,SUR,Suriname,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office. Data published by the Central Bank of Suriname (Table 23), compiled by the National Statistics Office. Latest actual data: 2021 Employment type: National definition Primary domestic currency: Surinamese dollar Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12.373,8.418,10.936,9.839,10.626,12,13.767,13.729,9.658,6.549,8.383,11.084,12.281,10.682,9.361,8.711,7.2,7.5,8.1,6.6,5.5,7,10,7,9,8.809,11.147,11.2,10.9,10.6,2021
LA-C,SWE,Sweden,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. National Statistics Office Latest actual data: 2022 Employment type: National definition Primary domestic currency: Swedish krona Data last updated: 09/2023,2.7,3.417,4.342,4.758,4.233,3.85,3.608,2.867,2.35,2.025,2.242,4,7.1,11.15,10.783,10.417,10.883,10.875,8.817,7.55,6.342,6.033,6.15,6.75,7.583,7.85,7.242,6.317,6.35,8.483,8.775,7.95,8.15,8.208,8.1,7.592,7.15,6.858,6.517,6.975,8.542,8.8,7.467,7.547,2022
other-advanced,CHE,Switzerland,Unemployment rate,Percent of total labor force,,Source: State Secretariat for Economic Affairs (SECO) Latest actual data: 2022 Employment type: National definition Primary domestic currency: Swiss franc Data last updated: 09/2023,0.209,0.19,0.428,0.85,1.138,0.982,0.832,0.798,0.72,0.564,0.501,1.083,2.549,4.504,4.723,4.233,4.656,5.199,3.856,2.723,1.824,1.703,2.546,3.691,3.879,3.763,3.332,2.766,2.577,3.701,3.516,2.843,2.905,3.158,3.044,3.178,3.323,3.088,2.547,2.306,3.17,2.993,2.166,2.051,2022
other-advanced,SYR,Syria,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2010 Employment type: National definition Primary domestic currency: Syrian pound Data last updated:,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16.761,12.405,13.462,13.483,8.171,11.672,10.781,12.288,8.089,8.182,8.406,10.924,8.139,8.613,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2010
ME-CA,TWN,Taiwan Province of China,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office. Directorate-General of Budget, Accounting and Statistics Latest actual data: 2022 Employment type: National definition. Labor Force It is defined as those civilians who, during the reference week, are 15 years of age or over and who are available to work, including both the employed and the unemployed. Employed Population Including all persons who, during the reference week, work for pay or work for 15 hours or more as unpaid family workers. Unemployed Population Including all the persons who, during the reference week, are 15 years of age or over and under the following conditions: - No job - Available to work - Seeking for a job, or had sought work waiting for result. Besides, the unemployed population also includes the persons who are waiting to recall or start a new job but not working and paid yet Primary domestic currency: New Taiwan dollar Data last updated: 08/2023",1.23,1.36,2.14,2.71,2.45,2.91,2.66,1.97,1.69,1.57,1.67,1.51,1.51,1.45,1.56,1.79,2.6,2.72,2.69,2.92,2.99,4.57,5.17,4.99,4.44,4.13,3.91,3.91,4.14,5.85,5.21,4.39,4.24,4.18,3.96,3.78,3.92,3.76,3.71,3.73,3.85,3.95,3.66,3.66,2022
other-advanced,TJK,Tajikistan,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2020 Employment type: National definition Primary domestic currency: Tajik somoni Data last updated: 08/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.2,2.6,2.5,2.6,2.3,2.2,2.1,2.3,2.5,2.3,2.1,2.2,2.492,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2020
ME-CA,TZA,Tanzania,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,THA,Thailand,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office. Labour Force Survey, downloaded from CEIC Latest actual data: 2022 Employment type: National definition Primary domestic currency: Thai baht Data last updated: 08/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.3,2.4,2.2,2.1,1.9,1.5,1.4,1.4,1.5,1,0.7,0.7,0.7,0.8,0.9,1,1.2,1.1,1,1.7,1.9,1.3,1.2,2022
ED-A,TLS,Timor-Leste,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED-A,TGO,Togo,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,TON,Tonga,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED-A,TTO,Trinidad and Tobago,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA-C,TUN,Tunisia,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: Tunisian dinar Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16.198,16.223,16.247,16.272,16.296,16.177,16.058,15.939,16.063,15.982,15.691,15.126,15.263,14.514,14.237,12.819,12.511,12.397,12.442,13.29,13.048,18.889,16.723,15.33,14.959,15.39,15.544,15.513,15.53,14.889,17.4,16.2,15.2,n/a,2022
ME-CA,TUR,Türkiye,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. Data from Turkish Statistical Institute (TurkStat) Latest actual data: 2022 Employment type: National definition Primary domestic currency: Turkish lira Data last updated: 09/2023,7.2,7.2,7.6,7.51,7.407,6.946,7.716,8.131,8.701,8.575,7.998,7.66,7.944,8.368,8.013,7.109,6.124,6.318,6.373,7.155,5.997,7.804,9.764,9.925,9.688,9.015,8.489,8.487,9.552,12.948,10.994,9.048,8.538,9.031,9.878,10.164,10.654,10.777,10.834,13.661,13.007,12.325,10.282,9.925,2022
ED-E,TKM,Turkmenistan,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME-CA,TUV,Tuvalu,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED-A,UGA,Uganda,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,UKR,Ukraine,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office. Formally, the State Statistics Committee of Ukraine Latest actual data: 2021. Starting in 2014, data excludes Crimea and Sevastopol. Data officially published for 2013 have been recalculated by the IMF staff to exclude Crimea and Sevastopol to ensure a comparable base going forward. Employment type: National definition Primary domestic currency: Ukrainian hryvnia Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14.8,10,9.8,11.3,11.9,11.483,10.789,9.629,9.057,8.588,7.185,6.81,6.351,6.363,8.843,8.097,7.856,7.529,7.172,9.275,9.143,9.45,9.65,9,8.5,9.15,9.835,24.528,19.367,2021
ED-E,ARE,United Arab Emirates,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME-CA,GBR,United Kingdom,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2021 Employment type: Harmonized ILO definition Primary domestic currency: British pound Data last updated: 09/2023,7.133,9.65,10.725,11.475,11.75,11.375,11.325,10.425,8.575,7.225,7.1,8.85,9.95,10.375,9.5,8.625,8.1,6.95,6.25,5.975,5.45,5.1,5.2,5,4.75,4.825,5.425,5.35,5.725,7.625,7.9,8.1,7.975,7.575,6.2,5.375,4.875,4.425,4.075,3.825,4.55,4.475,3.7,4.2,2021
major-advanced,USA,United States,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition Primary domestic currency: US dollar Data last updated: 09/2023,7.175,7.617,9.708,9.6,7.508,7.192,7,6.175,5.492,5.258,5.617,6.85,7.492,6.908,6.1,5.592,5.408,4.942,4.5,4.217,3.967,4.742,5.783,5.992,5.542,5.083,4.608,4.617,5.8,9.283,9.608,8.933,8.075,7.358,6.158,5.275,4.875,4.358,3.892,3.683,8.092,5.367,3.642,3.569,2022
major-advanced,URY,Uruguay,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition Primary domestic currency: Uruguayan peso Data last updated: 08/2023,n/a,n/a,n/a,14.5,14,13.1,10.1,9.1,8.6,8,8.5,8.9,9,8.3,9.2,10.3,11.9,11.558,10.125,11.2,13.4,15.192,16.75,17.15,13.342,12.142,10.783,9.4,7.925,7.783,7.025,6.342,6.325,6.508,6.625,7.525,7.867,7.925,8.367,8.925,10.35,9.375,7.867,8.129,2022
LA-C,UZB,Uzbekistan,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022. Latest annual data is 2021. Employment type: National definition Primary domestic currency: Uzbek som Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.2,4.9,3.6,3,5.2,4.99,4.893,5.041,5.357,4.963,4.874,4.86,5.087,5.153,5.163,5.83,9.347,8.976,10.531,9.625,8.851,8.351,2022
ME-CA,VUT,Vanuatu,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED-A,VEN,Venezuela,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2011 Employment type: National definition Primary domestic currency: Venezuelan bolívar Data last updated: 08/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14.525,14.008,13.358,15.996,18.188,15.067,12.242,9.958,8.492,7.354,7.879,8.508,8.204,7.823,7.47,6.7,7.4,20.863,27.886,35.554,n/a,n/a,n/a,n/a,n/a,2011
LA-C,VNM,Vietnam,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2021 Employment type: National definition Primary domestic currency: Vietnamese dong Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12.327,10.393,11,10.6,10.3,5.82,5.88,6.01,6.85,6.74,6.42,6.28,6.01,5.78,5.6,5.31,4.82,4.64,2.38,2.9,2.88,2.22,1.96,2.18,2.1,2.33,2.3,2.24,2.19,2.17,2.48,3.2,2.32,2.094,2021
ME-CA,YEM,Yemen,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME-CA,ZMB,Zambia,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,ZWE,Zimbabwe,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
